slug;type;path;promotion;triche;dependency;rule;correction;corr_script
w2web110p3;directory;Piscine_Framework_my_pizzeria_3;;;;;;
w2web110p1;directory;Piscine_Framework_my_pizzeria_1;;;;;;
ReRush1;directory;ReRush1;;;;;;
205QI;directory;205QI;2017;true;;;;
myirc;directory;PSU_2013_myirc;2017;true;;;;
corewar;directory;CPE_2014_corewar;2018;true;;;;
piscinePHPjour11;directory;Piscine_PHP_Jour_11;;;;;;
piscinePHPjour10;directory;Piscine_PHP_Jour_10;;;;;;
VAcpp;directory;cpp_va;2017;true;;;;
piscinePHPjour12;directory;Piscine_PHP_Jour_12;;;;;;
piscinePHPrush1;directory;Piscine_PHP_Rush_1;;;;;;
piscinePHPjour06;directory;Piscine_PHP_Jour_06;;;;;;
204canards;directory;204canards;2017;true;;;;
w1web024p10;directory;Piscine_PHP_Rush_2;;;;;;
104intersection;directory;104intersection;2018;true;;;;
w1web050p2;directory;CSS_Javascript_Racing_JS;;;;;;
ExamACC;directory;ExamACC;;;;;;
Rush1;directory;rush_my_tar;2018;true;;;;
CPPD08;directory;piscine_cpp_d08;2017;true;;;;
minishell1Ed;directory;PSU_2013_minishell1;2017;true;;;;
theplazza;directory;cpp_plazza;2017;true;;;;
CPPD07A;directory;piscine_cpp_d07a;2017;true;;;;
philo;directory;PSU_2013_philo;2017;true;;;;
w1web024p8;directory;Piscine_PHP_Jour_07;;;;;;
B1Rush;directory;B1Rush;;;;;;
CPPD07M;directory;piscine_cpp_d07m;2017;true;;;;
105tore;directory;105tore;2018;true;;;;
nmatch;directory;Piscine-C-match-nmatch;;;Clib, Cinclude;match-nmatch;true;match-nmatch.sh
w1web024p14;directory;Piscine_PHP_Jour_12;;;;;;
203hotline;directory;203hotline;2017;true;;;;
trade;directory;trade;2017;true;;;;
SCRush1;directory;ReRush1;;;;;;
BistromathiqueEd;directory;Bistro;2017;true;;;;
Cjour08;directory;Piscine-C-Jour_08;;;Clib, Cinclude;8;true;
SC1PM;directory;SummerCamp_01PM;;;;sc1pm;true;corr.sh sc1pm
B1Mailpro;directory;B1Mailpro;;;;;;
w1web084p1;directory;PHP_my_ls;;;;;;
B1Lettre;directory;B1Lettre;;;;;;
OCamlBistro;directory;ocaml_bistro;;;;;;
SC2AM;directory;SummerCamp_02AM;;;;sc2am;true;corr.sh sc2am
108monstre;directory;108monstre;2018;true;;;;
w1pro050p1;directory;EE-P1;;;;;;
w1web024p11;directory;Piscine_PHP_Jour_09;;;;;;
ReCJour03AM;directory;Piscine-rattrapage-Jour_03AM;;;;;;
w1web024p13;directory;Piscine_PHP_Jour_11;;;;;;
w1web024p12;directory;Piscine_PHP_Jour_10;;;;;;
Cartographer;directory;Cartographer;;;;;;
w1pro050p5;directory;EE-P5;;;;;;
w1pro050p4;directory;EE-P4;;;;;;
w1pro050p7;directory;EE-P7;;;;;;
w1pro050p6;directory;EE-P6;;;;;;
minishell2;directory;PSU_2013_minishell2;2018;true;;;;
Cinclude;directory;Piscine-C-include;;;;;;
w1pro050p3;directory;EE-P3;;;;;;
minishell1;directory;PSU_2013_minishell1;2018;true;;;;
109titrage;directory;109titrage;2018;true;;;;
Cjour12;directory;Piscine-C-Jour_12;;;Clib, Cinclude;12;true;
T2Rush2;directory;bmail;2017;true;;;;
w1pro050p8;directory;EE-P8;;;;;;
mod1;directory;mod1;;;;;;
T2Rush1;directory;T2Rush1;2017;true;;;;
w3web280p1;directory;Javascript_avance_II_My_IRC;;;;;;
B2Vente;directory;B2Vente;;;;;;
piscinecpprush3;directory;piscine_cpp_rush3;2017;true;;;;
journee;directory;journee;;;;;;
piscinecpprush1;directory;piscine_cpp_rush1;2017;true;;;;
CPPD13;directory;piscine_cpp_d13;2017;true;;;;
w1web024p5;directory;Piscine_PHP_Rush_1;;;;;;
307cereales;directory;307cereales;2016;true;;;;
CPPD10;directory;piscine_cpp_d10;2017;true;;;;
B5Mag;directory;B5Mag;;;;;;
CPPD16;directory;piscine_cpp_d16;2017;true;;;;
Disparition;directory;Disparition;;;;;;
306radiateur;directory;306radiateur;2016;true;;;;
w1web050p1;directory;CSS_Javascript_Maquette_1;;;;;;
pushswap;directory;CPE_2013_Pushswap;2018;true;;;;
w1web050p3;directory;CSS_Javascript_Maquette_2;;;;;;
w1web050p4;directory;CSS_Javascript_Maquette_3;;;;;;
w1web050p5;directory;CSS_Javascript_Maquette_Responsive;;;;;;
w1web050p6;directory;CSS_Javascript_JQuery;;;;;;
w1web050p7;directory;CSS_Javascript_2048;;;;;;
lemipc;directory;PSU_2013_lemipc;2017;true;;;;
304pacman;directory;304pacman_2016;2016;true;;;;
sudokibi;directory;sudoki-bi;2018;true;;;;
305chantier;directory;305chantier;2016;true;;;;
Sapin;directory;Piscine-C-sapin;;;;sapin;true;sapin.sh
ReCJour05AM;directory;Piscine-rattrapage-Jour_05AM;;;;;;
Fileworker;directory;Fileworker;;;;;;
206neutrinos;directory;206neutrinos;2017;true;;;;
dummy;directory;dummy;;;;;;
w1pro050p9;directory;EE-P9;;;;;;
B2Preciser;directory;B2Preciser;;;;;;
w2web130p1;directory;JavaScript_Avance_my_maps;;;;;;
w2web130p2;directory;JavaScript_Avance_my_paint;;;;;;
w2web130p3;directory;JavaScript_Avance_Racing_JS_2;;;;;;
minitalk3s;directory;PSU_2016_minitalk;2016;;;;;
OCamlAmazeing;directory;ocaml_a-maze-ing;;;;;;
wolf3d3s;directory;MUL_2013_wolf3d;2016;true;;;;
Nibbler;directory;cpp_nibbler;2017;true;;;;
Alum1;directory;Allum1;2018;true;;;;
w2web190p1;directory;Projet_Web_Avance_E-commerce;;;;;;
w1web024p9;directory;Piscine_PHP_Jour_08;;;;;;
w1pro050p2;directory;EE-P2;;;;;;
w3web250p1;directory;PHP_avance_II_Twenty_Forty-Two;;;;;;
Explora;directory;Explora;;;;;;
w2web120p3;directory;Piscine_MVC_Free_Ads;;;;;;
w2web120p2;directory;Piscine_MVC_Cloud_Wac;;;;;;
w2web120p1;directory;Piscine_MVC_MVC_Blog;;;;;;
w1web024p1;directory;Piscine_PHP_Jour_01;;;;;;
SC1AM;directory;SummerCamp_01AM;;;;sc1am;true;corr.sh sc1am
w1web024p3;directory;Piscine_PHP_Jour_03;;;;;;
w1web024p2;directory;Piscine_PHP_Jour_02;;;;;;
VAmath;directory;VAmath;2018;true;;;;
w1web024p4;directory;Piscine_PHP_Jour_04;;;;;;
w1web024p7;directory;Piscine_PHP_Jour_06;;;;;;
w1web024p6;directory;Piscine_PHP_Jour_05;;;;;;
SC2PM;directory;SummerCamp_02PM;;;;sc2pm;true;corr.sh sc2pm
rtv1;directory;MUL_2013_rtv1;2018;true;;;;
piscinecpprush2;directory;piscine_cpp_rush2;2017;true;;;;
w2web060p14;directory;Piscine_PHP_2_Jour_12;;;;;;
w2web060p2;directory;Piscine_PHP_2_Jour_02;;;;;;
SC5PM;directory;SummerCamp_05PM;;;;sc4pm;true;corr.sh sc5pm
w4web340p1;directory;HTML5_Gaming;;;;;;
minitalk;directory;PSU_2013_minitalk;2018;true;;;;
107transfert;directory;107transfert;2018;true;;;;
printf;directory;CPE_2017_my_printf;2017;true;printf3s, dummy;;;
minishell2Ed;directory;PSU_2013_minishell2;2017;true;;;;
Cjour14;directory;Piscine-C-Jour_14;;;Clib, Cinclude;14;true;
Ccolle3;directory;Piscine-C-colles-Semaine_03;;;Clib, Cinclude;Colle_3;true;colle3.sh
printf3s;directory;CPE_2016_my_printf;;;;;;
SC5AM;directory;SummerCamp_05AM;;;;sc5am;true;corr.sh sc5am
Cjour11;directory;Piscine-C-Jour_11;;;Clib, Cinclude;11;true;
w2web150p4;directory;PHP_Avance_Quiz;;;;;;
207demographie;directory;207demographie;2017;true;;;;
bdsh;directory;B3-BDSH-2013;;;;;;
202invendus;directory;202invendus;2017;true;;;;
rtype;directory;rtype;2016;true;;;;
w2web150p1;directory;PHP_Avance_RSS_Feed;;;;;;
VArendu2;directory;VArendu2;2018;true;;;;
VArendu3;directory;VArendu3;2018;true;;;;
VArendu1;directory;VArendu1;2018;true;;;;
stageTEK32015;directory;stageTEK3_2015_rapport;;;;;;
getnextlineEd;directory;CPE_2013_getnextline;2017;true;;;;
w2web060p3;directory;Piscine_PHP_2_Jour_03;;;;;;
ReCJour04PM;directory;Piscine-rattrapage-Jour_04PM;;;;;;
myls;directory;PSU_2013_my_ls;2018;true;;;;
309pollution;directory;309pollution;2016;true;;;;
CPPD14A;directory;piscine_cpp_d14a;2017;true;;;;
ReCJour05PM;directory;Piscine-rattrapage-Jour_05PM;;;;;;
CPPD14M;directory;piscine_cpp_d14m;2017;true;;;;
ReRush2;directory;ReRush2;;;;;;
Magic21;directory;Magic21;;;;;;
106bombyx;directory;106bombyx;2018;true;;;;
CPPD02M;directory;piscine_cpp_d02m;2017;true;;;;
b4vamat;directory;299normalite;2017;true;;;;
CPPD15;directory;piscine_cpp_d15;2017;true;;;;
Robby;directory;Robby;2018;true;;;;
Minishell1;directory;PSU_2013_minishell1;2018;true;;;;
CPPD02A;directory;piscine_cpp_d02a;2017;true;;;;
krpsims;directory;krpsims;;;;;;
Cjour09;directory;Piscine-C-Jour_09;;;Clib, Cinclude;9;true;
Pmp;directory;Pmp;2018;true;;;;
w3pro250p1;directory;Projet_site_associatif;;;;;;
CPPD17;directory;piscine_cpp_d17;2017;true;;;;
Cjour04;directory;Piscine-C-Jour_04;;;;4;true;
Cjour07;directory;Piscine-C-Jour_07;;;Clib, Cinclude;7;true;
Cjour06;directory;Piscine-C-Jour_06;;;;6;true;
Cjour01;directory;Piscine-C-Jour_01;;;;1;true;
rushhell;directory;rushhell;2016;true;;;;
Cjour03;directory;Piscine-C-Jour_03;;;;3;true;
Cjour02;directory;Piscine-C-Jour_02;;;;2;true;
w2web060p6;directory;Piscine_PHP_2_Jour_05;;;;;;
w2web060p7;directory;Piscine_PHP_2_Jour_06;;;;;;
w2web060p4;directory;Piscine_PHP_2_Jour_04;;;;;;
w2web060p5;directory;Piscine_PHP_2_Rush_1;;;;;;
B2RMiniProjetCV;directory;Rush_CV;;;;;;
stagetek3;directory;stageTEK3_2016_rapport;;;;;;
B4Recadrer;directory;B4Recadrer;;;;;;
ftrace;directory;AUSP_ftrace;2017;true;;;;
strace;directory;AUSP_strace;2017;true;;;;
B5Memo;directory;B5Memo;;;;;;
Ccolle2;directory;Piscine-C-colles-Semaine_02;;;;Colle_2;true;colle2.sh
w2web060p8;directory;Piscine_PHP_2_Jour_07;;;;;;
w2web060p9;directory;Piscine_PHP_2_Jour_08;;;;;;
